date,d5y_bp,d10y_bp,fx_ret_pct,oas_bp,doas_bp,etf_ret_pct,etf_ret_tr_pct,etf_ret_rmb_pct,etf_rate_attrib_tr_pct,etf_spread_proxy_tr_pct,is_exdate,div_yield_pct
2022-01-14,8.0,8.0,-0.1117,,,-0.6092,-0.6092,-0.7209,-0.282,-0.3272,False,0.0
2022-01-18,10.0,9.0,0.0016,,,-0.6279,-0.6279,-0.6263,-0.3268,-0.3011,False,0.0
2022-01-19,-3.0,-4.0,-0.1229,,,0.2995,0.2995,0.1766,0.1545,0.145,False,0.0
2022-01-20,0.0,0.0,-0.0646,,,0.1544,0.1544,0.0898,0.0141,0.1403,False,0.0
2022-01-21,-8.0,-8.0,-0.0331,,,0.3229,0.3229,0.2898,0.3103,0.0126,False,0.0
2022-01-24,-1.0,0.0,-0.1279,,,-0.1539,-0.1539,-0.2818,0.0218,-0.1757,False,0.0
2022-01-25,3.0,3.0,-0.0743,,,-0.0895,-0.0895,-0.1638,-0.0969,0.0074,False,0.0
2022-01-26,10.0,7.0,-0.0807,,,-0.3886,-0.3886,-0.4693,-0.2681,-0.1205,False,0.0
2022-01-27,0.0,-4.0,0.7424,,,0.1496,0.1496,0.892,0.1313,0.0183,False,0.0
2022-01-28,-5.0,-3.0,-0.1131,,,0.0548,0.0548,-0.0583,0.1406,-0.0858,False,0.0
2022-01-31,1.0,1.0,0.0079,,,-0.0748,-0.0748,-0.0669,-0.0229,-0.0519,False,0.0
2022-02-01,1.0,2.0,0.0,,,0.0,0.0,0.0,-0.0522,0.0522,False,0.0
2022-02-02,-3.0,-3.0,0.0,,,0.0,0.0,0.0,0.1252,-0.1252,False,0.0
2022-02-03,6.0,4.0,0.0,,,0.0,0.0,0.0,-0.1494,0.1494,False,0.0
2022-02-04,12.0,11.0,0.0,,,-0.7054,-0.7054,-0.7054,-0.4008,-0.3046,False,0.0
2022-02-07,-2.0,-1.0,0.0,,,-0.0603,-0.0603,-0.0603,0.0589,-0.1192,False,0.0
2022-02-08,5.0,4.0,0.0786,,,-0.2767,-0.2767,-0.1981,-0.1417,-0.135,False,0.0
2022-02-09,1.0,-2.0,-0.0644,,,0.141,0.141,0.0766,0.065,0.076,False,0.0
2022-02-10,14.0,9.0,-0.1463,,,-0.6207,-0.6207,-0.767,-0.3576,-0.2631,False,0.0
2022-02-11,-12.0,-11.0,0.022,,,0.5905,0.5905,0.6125,0.429,0.1615,False,0.0
2022-02-14,6.0,6.0,0.0425,,,-0.5955,-0.5955,-0.553,-0.208,-0.3875,False,0.0
2022-02-15,4.0,7.0,-0.2867,,,-0.2078,-0.2078,-0.4945,-0.2219,0.0141,False,0.0
2022-02-16,-4.0,-2.0,-0.03,,,0.1774,0.1774,0.1474,0.1036,0.0738,False,0.0
2022-02-17,-5.0,-6.0,0.0237,,,0.2225,0.2225,0.2462,0.2285,-0.006,False,0.0
2022-02-18,-3.0,-5.0,-0.2053,,,0.1363,0.1363,-0.069,0.1838,-0.0475,False,0.0
2022-02-22,3.0,2.0,0.0142,,,-0.1919,-0.1919,-0.1777,-0.0676,-0.1243,False,0.0
2022-02-23,4.0,5.0,-0.1994,,,-0.3494,-0.3494,-0.5488,-0.1633,-0.1861,False,0.0
2022-02-24,-5.0,-3.0,0.2357,,,-0.2489,-0.2489,-0.0132,0.1406,-0.3895,False,0.0
2022-02-25,2.0,1.0,-0.1803,,,0.0254,0.0254,-0.1549,-0.0306,0.056,False,0.0
2022-02-28,-15.0,-14.0,-0.1347,,,0.3705,0.3705,0.2358,0.5401,-0.1696,False,0.0
2022-03-01,-15.0,-11.0,0.0507,,,0.4145,0.4145,0.4652,0.4522,-0.0377,False,0.0
