date,ret_tr_pct,sig_uncond,sig_garch,sig_garch_t,sig_ewma,sig_dnorm,m1_var_95,m1_var_99,garch_var_95,garch_var_99,garch_t_var_95,garch_t_var_99,ewma_var_95,ewma_var_99,dnorm_var_95,dnorm_var_99,ret_rmb_pct,rmb_sig_uncond,rmb_sig_garch,rmb_sig_ewma,rmb_sig_dnorm,rmb_m1_var_95,rmb_m1_var_99,rmb_garch_var_95,rmb_garch_var_99,rmb_ewma_var_95,rmb_ewma_var_99,rmb_dnorm_var_95,rmb_dnorm_var_99
2022-10-24,-0.196,0.339759,0.361341,0.357975,0.36322,0.339762,0.55887,0.790382,0.59437,0.840587,0.588833,0.832757,0.59746,0.844958,0.558875,0.790389,0.1212,0.41095,0.463641,0.424054,0.410952,0.675972,0.955993,0.762642,1.078567,0.697527,0.986478,0.675976,0.955999
2022-10-25,0.2434,0.339323,0.355661,0.351719,0.355412,0.339326,0.558153,0.789368,0.585027,0.827375,0.578543,0.818204,0.584617,0.826795,0.558158,0.789374,0.3246,0.410977,0.494823,0.412207,0.410979,0.676016,0.956056,0.813935,1.151108,0.678039,0.958916,0.67602,0.956061
2022-10-26,0.3019,0.339778,0.353703,0.349575,0.349704,0.339781,0.5589,0.790425,0.581806,0.82282,0.575017,0.813217,0.575229,0.813518,0.558905,0.790432,-1.0527,0.411477,0.454303,0.407482,0.41148,0.676839,0.957219,0.747283,1.056845,0.670267,0.947925,0.676843,0.957225
2022-10-27,0.4012,0.340439,0.35396,0.349946,0.347022,0.340442,0.559988,0.791963,0.582229,0.823417,0.575626,0.81408,0.570816,0.807277,0.559993,0.79197,1.1362,0.416665,0.507025,0.471773,0.416668,0.685373,0.969289,0.834006,1.179493,0.776019,1.097485,0.685377,0.969294
2022-10-28,-0.2771,0.340932,0.358658,0.355219,0.350509,0.340935,0.560799,0.79311,0.589957,0.834346,0.5843,0.826347,0.576552,0.815389,0.560803,0.793116,0.0822,0.421998,0.524441,0.535418,0.422,0.694144,0.981694,0.862653,1.220008,0.880709,1.245543,0.694148,0.981699
2022-10-31,-0.3608,0.341112,0.354985,0.351333,0.346543,0.341115,0.561095,0.793529,0.583916,0.825803,0.577908,0.817306,0.570029,0.806163,0.5611,0.793536,0.3936,0.421914,0.521223,0.519497,0.421916,0.694007,0.981499,0.857359,1.21252,0.854521,1.208506,0.69401,0.981504
2022-11-01,-0.0119,0.3414,0.354009,0.350529,0.347415,0.341403,0.56157,0.7942,0.58231,0.823531,0.576584,0.815435,0.571463,0.808192,0.561574,0.794207,-0.4482,0.422129,0.520302,0.512816,0.422131,0.69436,0.981999,0.855845,1.210379,0.843531,1.192963,0.694363,0.982003
2022-11-02,-0.0415,0.341363,0.347227,0.342989,0.336844,0.341366,0.561508,0.794113,0.571154,0.807755,0.564183,0.797896,0.554075,0.7836,0.561513,0.79412,0.1783,0.422669,0.519712,0.50917,0.42267,0.695248,0.983254,0.854875,1.209007,0.837534,1.184482,0.695251,0.983258
2022-11-03,-0.3683,0.341306,0.340292,0.335238,0.326741,0.341309,0.561415,0.793981,0.559746,0.791621,0.551433,0.779864,0.537456,0.760097,0.56142,0.793988,-0.2175,0.422813,0.516806,0.495587,0.422814,0.695485,0.983589,0.850095,1.202247,0.815191,1.152884,0.695487,0.983593
2022-11-04,-0.0833,0.341796,0.340023,0.33541,0.329382,0.341799,0.562221,0.795121,0.559304,0.790996,0.551715,0.780263,0.5418,0.766241,0.562225,0.795127,-0.0888,0.423001,0.513984,0.483434,0.423003,0.695794,0.984027,0.845452,1.195681,0.795201,1.124612,0.695797,0.984031
2022-11-07,-0.0238,0.341073,0.333069,0.327605,0.319999,0.341076,0.561031,0.793438,0.547866,0.774819,0.538877,0.762107,0.526366,0.744413,0.561036,0.793446,-1.0289,0.42291,0.51064,0.469211,0.422912,0.695644,0.983815,0.839952,1.187902,0.771805,1.091526,0.695647,0.983819
2022-11-08,0.4161,0.34076,0.32587,0.319393,0.310305,0.340763,0.560517,0.792711,0.536023,0.75807,0.52537,0.743005,0.510421,0.721863,0.560522,0.792718,0.7187,0.427584,0.522886,0.520065,0.427586,0.703333,0.994689,0.860095,1.21639,0.855455,1.209827,0.703336,0.994692
2022-11-09,0.3612,0.341619,0.33389,0.328961,0.317648,0.341621,0.561928,0.794707,0.549216,0.776728,0.541108,0.765262,0.522499,0.738945,0.561933,0.794713,0.2452,0.429225,0.52765,0.534071,0.429227,0.706033,0.998507,0.867931,1.227472,0.878493,1.242408,0.706035,0.99851
