date,rv60_ann_%,chronic_high,crisis_window,regime
2022-03-30,6.361828441399266,True,False,高波动
2022-03-31,6.363912643841105,True,False,高波动
2022-04-01,6.368744012291725,True,False,高波动
2022-04-04,6.353053613080718,True,False,高波动
2022-04-05,6.353827203336932,True,False,高波动
2022-04-06,6.4240943213942225,True,False,高波动
2022-04-07,6.4113389262504485,True,False,高波动
2022-04-08,6.436283319326775,True,False,高波动
2022-04-11,6.456271135160905,True,False,高波动
2022-04-12,6.381006399533021,True,False,高波动
2022-04-13,6.295320150809365,True,False,高波动
2022-04-14,6.300269971842612,True,False,高波动
2022-04-18,6.2814974261270455,True,False,高波动
2022-04-19,6.259489509005981,True,False,高波动
2022-04-20,6.310805062481655,True,False,高波动
2022-04-21,6.323401236343983,True,False,高波动
2022-04-22,6.298119417566818,True,False,高波动
2022-04-25,6.278205582986056,True,False,高波动
2022-04-26,6.357257104982263,True,False,高波动
2022-04-27,6.379789243806556,True,False,高波动
2022-04-28,6.377467729372407,True,False,高波动
2022-04-29,6.384868409434655,True,False,高波动
2022-05-02,6.384868409434655,True,False,高波动
2022-05-03,6.315171924331468,True,False,高波动
2022-05-04,6.420314909091166,True,False,高波动
2022-05-05,6.454578805105879,True,False,高波动
2022-05-06,6.465367273731423,True,False,高波动
2022-05-09,6.383371366016125,True,False,高波动
2022-05-10,6.2367590981839,True,False,高波动
2022-05-11,6.225097383334658,True,False,高波动
2022-05-12,6.221022638411399,True,False,高波动
2022-05-13,6.199215939532125,True,False,高波动
2022-05-16,6.199171038240189,True,False,高波动
2022-05-17,6.20940893180718,True,False,高波动
2022-05-18,6.317024482747168,True,False,高波动
2022-05-19,6.298705738862522,True,False,高波动
2022-05-20,6.354665834962048,True,False,高波动
2022-05-23,6.35731031270834,True,False,高波动
2022-05-24,6.407650070493731,True,False,高波动
2022-05-25,6.348354713680693,True,False,高波动
2022-05-26,6.064807517895243,True,False,高波动
2022-05-27,6.054057824159859,True,False,高波动
2022-05-31,6.00772728860119,True,False,高波动
2022-06-01,5.959010962866182,True,False,高波动
2022-06-02,5.859419677333128,True,False,高波动
2022-06-03,5.784267800370829,True,False,高波动
2022-06-06,5.8210973094251415,True,True,高波动
2022-06-07,5.8358224628146065,True,True,高波动
2022-06-08,5.467948604348492,True,True,高波动
2022-06-09,5.393541224932916,True,True,高波动
2022-06-10,5.53096993495624,True,True,高波动
2022-06-13,5.93586756551979,True,True,高波动
2022-06-14,5.996676964235262,True,True,高波动
2022-06-15,6.221022664100674,True,True,高波动
2022-06-16,6.236486995451901,True,True,高波动
2022-06-17,6.036496640046123,True,True,高波动
2022-06-21,6.003487278751876,True,True,高波动
2022-06-22,6.02878287401925,True,True,高波动
2022-06-23,6.013332515578633,True,False,高波动
2022-06-24,5.895955761671997,True,False,高波动
2022-06-27,5.762651072938625,True,False,高波动
2022-06-28,5.75903367174019,True,False,高波动
2022-06-29,5.768440842376734,True,False,高波动
2022-06-30,5.784755743509643,True,False,高波动
2022-07-01,5.784755743509643,True,False,高波动
2022-07-05,5.801059493014318,True,False,高波动
2022-07-06,5.88438080124848,True,False,高波动
2022-07-07,5.880531441540735,True,False,高波动
2022-07-08,5.848408114118588,True,False,高波动
2022-07-11,5.892335455844601,True,False,高波动
2022-07-12,5.8860462857939275,True,False,高波动
2022-07-13,5.8202921149826174,True,False,高波动
2022-07-14,5.846343339085944,True,False,高波动
2022-07-15,5.7840351602155895,True,False,高波动
2022-07-18,5.750678970527551,True,False,高波动
2022-07-19,5.752839366490609,True,False,高波动
2022-07-20,5.749471883024991,True,False,高波动
2022-07-21,5.923653473399273,True,False,高波动
2022-07-22,6.051740014983226,True,False,高波动
2022-07-25,6.0096990867193405,True,False,高波动
2022-07-26,6.012586384720708,True,False,高波动
2022-07-27,5.988860444174386,True,False,高波动
2022-07-28,6.084975007597382,True,False,高波动
