date,ret_tr_pct,ret_rmb_pct,hs250_var_95,rmb_hs250_var_95,hs250_var_99,rmb_hs250_var_99,hs500_var_95,rmb_hs500_var_95,hs500_var_99,rmb_hs500_var_99,hs750_var_95,rmb_hs750_var_95,hs750_var_99,rmb_hs750_var_99,fhs_sig_e,fhs_sig_g,rmb_fhs_sig_e,rmb_fhs_sig_g,fhs_e_var_95,fhs_g_var_95,rmb_fhs_e_var_95,rmb_fhs_g_var_95,fhs_e_var_99,fhs_g_var_99,rmb_fhs_e_var_99,rmb_fhs_g_var_99
2022-10-28,-0.2771,0.0822,0.611565,0.711975,0.969614,0.993508,,,,,,,,,0.350509,0.358658,0.535418,0.524441,,,,,,,,
2022-10-31,-0.3608,0.3936,0.611565,0.711975,0.969614,0.993508,,,,,,,,,0.346543,0.354985,0.519497,0.521223,,,,,,,,
2022-11-01,-0.0119,-0.4482,0.611565,0.711975,0.969614,0.993508,,,,,,,,,0.347415,0.354009,0.512816,0.520302,,,,,,,,
2022-11-02,-0.0415,0.1783,0.611565,0.711975,0.969614,0.993508,,,,,,,,,0.336844,0.347227,0.50917,0.519712,,,,,,,,
2022-11-03,-0.3683,-0.2175,0.611565,0.711975,0.969614,0.993508,,,,,,,,,0.326741,0.340292,0.495587,0.516806,,,,,,,,
2022-11-04,-0.0833,-0.0888,0.611565,0.711975,0.969614,0.993508,,,,,,,,,0.329382,0.340023,0.483434,0.513984,,,,,,,,
2022-11-07,-0.0238,-1.0289,0.611565,0.711975,0.969614,0.993508,,,,,,,,,0.319999,0.333069,0.469211,0.51064,,,,,,,,
2022-11-08,0.4161,0.7187,0.611565,0.717795,0.969614,1.041038,,,,,,,,,0.310305,0.32587,0.520065,0.522886,,,,,,,,
2022-11-09,0.3612,0.2452,0.611565,0.717795,0.969614,1.041038,,,,,,,,,0.317648,0.33389,0.534071,0.52765,,,,,,,,
2022-11-10,1.0232,0.2453,0.611565,0.717795,0.969614,1.041038,,,,,,,,,0.320428,0.337743,0.521272,0.52522,,,,,,,,
2022-11-14,0.9144,-0.671,0.611565,0.717795,0.969614,1.041038,,,,,,,,,0.399162,0.391719,0.508952,0.522793,,,,,,,,
2022-11-15,0.6472,0.2646,0.611565,0.717795,0.969614,1.041038,,,,,,,,,0.447144,0.423918,0.5201,0.525788,,,,,,,,
2022-11-16,0.4483,1.1894,0.611565,0.717795,0.969614,1.041038,,,,,,,,,0.461599,0.437136,0.508404,0.523554,,,,,,,,
2022-11-17,-0.3446,0.4792,0.611565,0.717795,0.969614,1.041038,,,,,,,,,0.460812,0.439448,0.572579,0.536212,,,,,,,,
2022-11-18,-0.265,-0.768,0.611565,0.717795,0.969614,1.041038,,,,,,,,,0.454678,0.435744,0.56741,0.536904,,,,,,,,
2022-11-21,0.0173,0.6446,0.611565,0.735475,0.969614,1.041038,,,,,,,,,0.44558,0.430422,0.5814,0.538529,,,,,,,,
2022-11-22,0.2765,-0.0759,0.611565,0.735475,0.969614,1.041038,,,,,,,,,0.432026,0.423438,0.585384,0.540008,,,,,,,,
2022-11-23,0.4076,0.6762,0.611565,0.735475,0.969614,1.041038,,,,,,,,,0.424305,0.420687,0.567856,0.539614,,,,,,,,
2022-11-25,0.4744,0.561,0.611565,0.735475,0.969614,1.041038,,,,,,,,,0.423322,0.421842,0.574932,0.541252,,,,,,,,
2022-11-28,0.0684,0.6696,0.611565,0.735475,0.969614,1.041038,,,,,,,,,0.426559,0.425339,0.574106,0.542239,,,,,,,,
2022-11-29,-0.0114,-0.7159,0.611565,0.735475,0.969614,1.041038,,,,,,,,,0.413903,0.419386,0.580279,0.543759,,,,,,,,
2022-11-30,0.6079,-0.3595,0.611565,0.735475,0.969614,1.041038,,,,,,,,,0.401304,0.413303,0.589297,0.545104,,,,,,,,
2022-12-01,0.9078,0.2638,0.611565,0.735475,0.969614,1.041038,,,,,,,,,0.416599,0.422613,0.578091,0.545116,,,,,,,,
2022-12-02,0.2411,-0.0917,0.611565,0.735475,0.969614,1.041038,,,,,,,,,0.461072,0.449574,0.564193,0.545062,,,,,,,,
2022-12-05,-0.3084,-1.1382,0.611565,0.735475,0.969614,1.041038,,,,,,,,,0.45091,0.44466,0.547466,0.544687,,,,,,,,
2022-12-06,0.2524,0.7182,0.611565,0.75675,0.969614,1.093806,,,,,,,,,0.443652,0.44068,0.599555,0.548745,,,,,,,,
2022-12-07,0.3858,0.0521,0.611565,0.75675,0.969614,1.093806,,,,,,,,,0.434557,0.436785,0.607327,0.550515,,,,,,,,
2022-12-08,-0.0949,-0.171,0.611565,0.75675,0.969614,1.093806,,,,,,,,,0.431787,0.436516,0.588964,0.550164,,,,,,,,
2022-12-09,-0.3245,-0.4538,0.611565,0.75675,0.969614,1.093806,,,,,,,,,0.419278,0.430413,0.572556,0.549849,,,,,,,,
