model,role,caliber,conf,scope,T,x,rate_pct,exp_x,n_zero,exp_x_eff,lr_uc,p_uc,p_uc_mc,lr_ind,p_ind,p_ind_mc,p_ind_mc_cond,lr_cc,p_cc,n00,n01,n10,n11,n_pairs,n_pair_dropped,x_lo,x_hi,mean_var,es,es_ratio,size_uc,size_ind
HS750,主,次,99,ex_doubtful_all,509,1,0.196464,5.09,9,5.0,4.958551,0.025962,0.0522,0.004008,0.949521,0.96355,0.26315,4.96256,0.083636,498,1,1,0,500,17,2,10,0.857515,0.7011,0.817595,0.0522,0.0146
FHS-E,主,次,99,full,768,10,1.302083,7.68,11,7.57,0.646397,0.421404,0.3699,0.264208,0.607244,0.27975,0.5638,0.910606,0.634256,747,10,10,0,767,0,3,13,0.620376,0.60331,0.972491,0.0428,0.02055
FHS-E,主,次,99,common773,768,10,1.302083,7.68,11,7.57,0.646397,0.421404,0.3699,0.264208,0.607244,0.27975,0.5638,0.910606,0.634256,747,10,10,0,767,0,3,13,0.620376,0.60331,0.972491,0.0428,0.02055
FHS-E,主,次,99,common523,518,7,1.351351,5.18,9,5.09,0.581938,0.445554,0.50645,0.192163,0.661123,0.2864,0.56715,0.774101,0.679057,503,7,7,0,517,0,2,10,0.548143,0.523486,0.955018,0.04995,0.0146
FHS-E,主,次,99,calm,680,10,1.470588,6.8,11,6.69,1.328485,0.249075,0.3435,0.298965,0.584532,0.19155,0.565,1.62745,0.443204,659,10,10,0,679,0,3,12,0.586735,0.60331,1.028249,0.0552,0.015
FHS-E,主,次,99,highvol,88,0,0.0,0.88,0,0.88,1.768859,0.183523,0.4711,-0.0,1.0,1.0,1.0,1.768859,0.41295,87,0,0,0,87,0,0,3,0.880324,,,0.01335,0.0046
FHS-E,主,次,99,ex_doubtful,756,9,1.190476,7.56,11,7.45,0.261133,0.609343,0.7109,0.220414,0.638725,0.26845,0.44655,0.481547,0.78602,726,9,9,0,744,23,3,13,0.620899,0.614689,0.989998,0.0407,0.02045
FHS-E,主,次,99,ex_doubtful_all,753,9,1.195219,7.53,10,7.43,0.272832,0.601438,0.71315,0.222228,0.637348,0.26515,0.4469,0.49506,0.780727,720,9,9,0,738,29,3,13,0.620387,0.614689,0.990815,0.04345,0.0202
FHS-G,主,次,99,full,768,11,1.432292,7.68,11,7.57,1.278584,0.258162,0.2675,0.320117,0.571537,0.20005,0.57005,1.598701,0.449621,745,11,11,0,767,0,3,13,0.615346,0.621991,1.010799,0.0428,0.02055
FHS-G,主,次,99,common773,768,11,1.432292,7.68,11,7.57,1.278584,0.258162,0.2675,0.320117,0.571537,0.20005,0.57005,1.598701,0.449621,745,11,11,0,767,0,3,13,0.615346,0.621991,1.010799,0.0428,0.02055
FHS-G,主,次,99,common523,518,9,1.737452,5.18,9,5.09,2.332078,0.126733,0.14635,0.318914,0.572261,0.11785,0.5681,2.650992,0.265671,499,9,9,0,517,0,2,10,0.539677,0.597911,1.107906,0.04995,0.0146
FHS-G,主,次,99,calm,680,11,1.617647,6.8,11,6.69,2.207656,0.137327,0.17515,0.362292,0.547236,0.13435,0.56345,2.569948,0.276658,657,11,11,0,679,0,3,12,0.586983,0.621991,1.05964,0.0552,0.015
FHS-G,主,次,99,highvol,88,0,0.0,0.88,0,0.88,1.768859,0.183523,0.4711,-0.0,1.0,1.0,1.0,1.768859,0.41295,87,0,0,0,87,0,0,3,0.834511,,,0.01335,0.0046
FHS-G,主,次,99,ex_doubtful,756,10,1.322751,7.56,11,7.45,0.722241,0.39541,0.4636,0.272488,0.601668,0.19155,0.45645,0.994729,0.608131,724,10,10,0,744,23,3,13,0.61599,0.6341,1.029399,0.0407,0.02045
FHS-G,主,次,99,ex_doubtful_all,753,10,1.328021,7.53,10,7.43,0.741994,0.389023,0.46485,0.274734,0.600174,0.1888,0.4596,1.016728,0.601479,718,10,10,0,738,29,3,13,0.615502,0.6341,1.030216,0.04345,0.0202
